"","category","term","ontology"
"2621","GO:0007017","microtubule-based process","BP"
"2622","GO:0007018","microtubule-based movement","BP"
"2623","GO:0007019","microtubule depolymerization","BP"
"2624","GO:0007020","microtubule nucleation","BP"
"2625","GO:0007021","tubulin complex assembly","BP"
"2626","GO:0007023","post-chaperonin tubulin folding pathway","BP"
"2627","GO:0007026","negative regulation of microtubule depolymerization","BP"
"2628","GO:0007028","cytoplasm organization","BP"
"2629","GO:0007029","endoplasmic reticulum organization","BP"
"2630","GO:0007030","Golgi organization","BP"
"2631","GO:0007031","peroxisome organization","BP"
"2632","GO:0007032","endosome organization","BP"
"2633","GO:0007033","vacuole organization","BP"
"2634","GO:0007034","vacuolar transport","BP"
"2635","GO:0007035","vacuolar acidification","BP"
"2636","GO:0007039","protein catabolic process in the vacuole","BP"
"2637","GO:0007040","lysosome organization","BP"
"2638","GO:0007041","lysosomal transport","BP"
"2639","GO:0007042","lysosomal lumen acidification","BP"
"2640","GO:0007043","cell-cell junction assembly","BP"
"2641","GO:0007049","cell cycle","BP"
"2642","GO:0007050","cell cycle arrest","BP"
"2643","GO:0007051","spindle organization","BP"
"2644","GO:0007052","mitotic spindle organization","BP"
"2645","GO:0007057","spindle assembly involved in female meiosis I","BP"
"2646","GO:0007059","chromosome segregation","BP"
"2647","GO:0007060","male meiosis chromosome segregation","BP"
"2648","GO:0007062","sister chromatid cohesion","BP"
"2649","GO:0007064","mitotic sister chromatid cohesion","BP"
"2650","GO:0007066","female meiosis sister chromatid cohesion","BP"
"2651","GO:0007076","mitotic chromosome condensation","BP"
"2652","GO:0007077","mitotic nuclear envelope disassembly","BP"
"2653","GO:0007079","mitotic chromosome movement towards spindle pole","BP"
"2654","GO:0007080","mitotic metaphase plate congression","BP"
"2655","GO:0007084","mitotic nuclear envelope reassembly","BP"
"2656","GO:0007088","regulation of mitotic nuclear division","BP"
"2657","GO:0007089","traversing start control point of mitotic cell cycle","BP"
"2658","GO:0007091","metaphase/anaphase transition of mitotic cell cycle","BP"
"2659","GO:0007093","mitotic cell cycle checkpoint","BP"
"2660","GO:0007094","mitotic spindle assembly checkpoint","BP"
"2661","GO:0007095","mitotic G2 DNA damage checkpoint","BP"
"2662","GO:0007096","regulation of exit from mitosis","BP"
"2663","GO:0007097","nuclear migration","BP"
"2664","GO:0007098","centrosome cycle","BP"
"2665","GO:0007099","centriole replication","BP"
"2666","GO:0007100","mitotic centrosome separation","BP"
"2667","GO:0007107","membrane addition at site of cytokinesis","BP"
"2668","GO:0007112","male meiosis cytokinesis","BP"
"2669","GO:0007114","cell budding","BP"
"2670","GO:0007117","budding cell bud growth","BP"
"2671","GO:0007118","budding cell apical bud growth","BP"
"2672","GO:0007124","pseudohyphal growth","BP"
"2673","GO:0007127","meiosis I","BP"
"2674","GO:0007129","synapsis","BP"
"2675","GO:0007130","synaptonemal complex assembly","BP"
"2676","GO:0007131","reciprocal meiotic recombination","BP"
"2677","GO:0007140","male meiotic nuclear division","BP"
"2678","GO:0007141","male meiosis I","BP"
"2679","GO:0007143","female meiotic nuclear division","BP"
"2680","GO:0007144","female meiosis I","BP"
"2681","GO:0007154","cell communication","BP"
"2682","GO:0007155","cell adhesion","BP"
"2683","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","BP"
"2684","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","BP"
"2685","GO:0007158","neuron cell-cell adhesion","BP"
"2686","GO:0007159","leukocyte cell-cell adhesion","BP"
"2687","GO:0007160","cell-matrix adhesion","BP"
"2688","GO:0007162","negative regulation of cell adhesion","BP"
"2690","GO:0007164","establishment of tissue polarity","BP"
"2691","GO:0007165","signal transduction","BP"
"2692","GO:0007166","cell surface receptor signaling pathway","BP"
"2693","GO:0007168","receptor guanylyl cyclase signaling pathway","BP"
"2694","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"2695","GO:0007172","signal complex assembly","BP"
"2696","GO:0007173","epidermal growth factor receptor signaling pathway","BP"
"2697","GO:0007175","negative regulation of epidermal growth factor-activated receptor activity","BP"
"2698","GO:0007179","transforming growth factor beta receptor signaling pathway","BP"
"2699","GO:0007181","transforming growth factor beta receptor complex assembly","BP"
"2700","GO:0007183","SMAD protein complex assembly","BP"
"2701","GO:0007185","transmembrane receptor protein tyrosine phosphatase signaling pathway","BP"
"2702","GO:0007186","G protein-coupled receptor signaling pathway","BP"
"2703","GO:0007187","G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger","BP"
"2704","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway","BP"
"2705","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP"
"2706","GO:0007190","activation of adenylate cyclase activity","BP"
"2707","GO:0007192","adenylate cyclase-activating serotonin receptor signaling pathway","BP"
"2708","GO:0007193","adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway","BP"
"2709","GO:0007194","negative regulation of adenylate cyclase activity","BP"
"2710","GO:0007195","adenylate cyclase-inhibiting dopamine receptor signaling pathway","BP"
"2711","GO:0007196","adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway","BP"
"2712","GO:0007197","adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway","BP"
"2713","GO:0007198","adenylate cyclase-inhibiting serotonin receptor signaling pathway","BP"
"2714","GO:0007199","G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger","BP"
"2715","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","BP"
"2716","GO:0007202","activation of phospholipase C activity","BP"
"2717","GO:0007204","positive regulation of cytosolic calcium ion concentration","BP"
"2718","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway","BP"
"2719","GO:0007206","phospholipase C-activating G protein-coupled glutamate receptor signaling pathway","BP"
"2720","GO:0007208","phospholipase C-activating serotonin receptor signaling pathway","BP"
"2721","GO:0007210","serotonin receptor signaling pathway","BP"
"2722","GO:0007212","dopamine receptor signaling pathway","BP"
"2723","GO:0007214","gamma-aminobutyric acid signaling pathway","BP"
"2724","GO:0007215","glutamate receptor signaling pathway","BP"
"2725","GO:0007216","G protein-coupled glutamate receptor signaling pathway","BP"
"2726","GO:0007217","tachykinin receptor signaling pathway","BP"
"2727","GO:0007218","neuropeptide signaling pathway","BP"
"2728","GO:0007219","Notch signaling pathway","BP"
"2729","GO:0007220","Notch receptor processing","BP"
"2730","GO:0007221","positive regulation of transcription of Notch receptor target","BP"
"2731","GO:0007224","smoothened signaling pathway","BP"
"2732","GO:0007225","patched ligand maturation","BP"
"2733","GO:0007228","positive regulation of hh target transcription factor activity","BP"
"2734","GO:0007229","integrin-mediated signaling pathway","BP"
"2735","GO:0007231","osmosensory signaling pathway","BP"
"2736","GO:0007234","osmosensory signaling via phosphorelay pathway","BP"
"2737","GO:0007249","I-kappaB kinase/NF-kappaB signaling","BP"
"2738","GO:0007250","activation of NF-kappaB-inducing kinase activity","BP"
"2739","GO:0007253","cytoplasmic sequestering of NF-kappaB","BP"
"2740","GO:0007254","JNK cascade","BP"
"2741","GO:0007256","activation of JNKK activity","BP"
"2742","GO:0007257","activation of JUN kinase activity","BP"
"2743","GO:0007259","receptor signaling pathway via JAK-STAT","BP"
"2744","GO:0007260","tyrosine phosphorylation of STAT protein","BP"
"2746","GO:0007265","Ras protein signal transduction","BP"
"2747","GO:0007266","Rho protein signal transduction","BP"
"2748","GO:0007267","cell-cell signaling","BP"
"2749","GO:0007268","chemical synaptic transmission","BP"
"2750","GO:0007269","neurotransmitter secretion","BP"
"2751","GO:0007270","neuron-neuron synaptic transmission","BP"
"2752","GO:0007271","synaptic transmission, cholinergic","BP"
"2753","GO:0007272","ensheathment of neurons","BP"
"2754","GO:0007274","neuromuscular synaptic transmission","BP"
"2755","GO:0007275","multicellular organism development","BP"
"2756","GO:0007276","gamete generation","BP"
"2757","GO:0007279","pole cell formation","BP"
"2758","GO:0007280","pole cell migration","BP"
"2759","GO:0007281","germ cell development","BP"
"2760","GO:0007282","cystoblast division","BP"
"2761","GO:0007283","spermatogenesis","BP"
"2762","GO:0007284","spermatogonial cell division","BP"
"2763","GO:0007286","spermatid development","BP"
"2764","GO:0007288","sperm axoneme assembly","BP"
"2765","GO:0007289","spermatid nucleus differentiation","BP"
"2766","GO:0007290","spermatid nucleus elongation","BP"
"2767","GO:0007291","sperm individualization","BP"
"2768","GO:0007292","female gamete generation","BP"
"2769","GO:0007293","germarium-derived egg chamber formation","BP"
"2770","GO:0007294","germarium-derived oocyte fate determination","BP"
"2771","GO:0007295","growth of a germarium-derived egg chamber","BP"
"2772","GO:0007296","vitellogenesis","BP"
"2773","GO:0007297","ovarian follicle cell migration","BP"
"2774","GO:0007298","border follicle cell migration","BP"
"2775","GO:0007300","ovarian nurse cell to oocyte transport","BP"
"2776","GO:0007301","female germline ring canal formation","BP"
"2777","GO:0007303","cytoplasmic transport, nurse cell to oocyte","BP"
"2778","GO:0007304","chorion-containing eggshell formation","BP"
"2779","GO:0007307","eggshell chorion gene amplification","BP"
"2780","GO:0007308","oocyte construction","BP"
"2781","GO:0007310","oocyte dorsal/ventral axis specification","BP"
"2782","GO:0007312","oocyte nucleus migration involved in oocyte dorsal/ventral axis specification","BP"
"2783","GO:0007314","oocyte anterior/posterior axis specification","BP"
"2784","GO:0007315","pole plasm assembly","BP"
"2785","GO:0007317","regulation of pole plasm oskar mRNA localization","BP"
"2786","GO:0007318","pole plasm protein localization","BP"
"2787","GO:0007320","insemination","BP"
"2788","GO:0007321","sperm displacement","BP"
"2789","GO:0007329","positive regulation of transcription from RNA polymerase II promoter by pheromones","BP"
"2790","GO:0007338","single fertilization","BP"
"2791","GO:0007339","binding of sperm to zona pellucida","BP"
"2792","GO:0007340","acrosome reaction","BP"
"2793","GO:0007341","penetration of zona pellucida","BP"
"2794","GO:0007342","fusion of sperm to egg plasma membrane involved in single fertilization","BP"
"2795","GO:0007346","regulation of mitotic cell cycle","BP"
"2796","GO:0007349","cellularization","BP"
"2797","GO:0007354","zygotic determination of anterior/posterior axis, embryo","BP"
"2798","GO:0007362","terminal region determination","BP"
"2799","GO:0007367","segment polarity determination","BP"
"2800","GO:0007368","determination of left/right symmetry","BP"
"2801","GO:0007369","gastrulation","BP"
"2802","GO:0007370","ventral furrow formation","BP"
"2803","GO:0007371","ventral midline determination","BP"
"2804","GO:0007374","posterior midgut invagination","BP"
"2805","GO:0007377","germ-band extension","BP"
"2806","GO:0007379","segment specification","BP"
"2807","GO:0007385","specification of segmental identity, abdomen","BP"
"2808","GO:0007386","compartment pattern specification","BP"
"2809","GO:0007389","pattern specification process","BP"
"2810","GO:0007391","dorsal closure","BP"
"2811","GO:0007395","dorsal closure, spreading of leading edge cells","BP"
"2812","GO:0007398","ectoderm development","BP"
"2813","GO:0007399","nervous system development","BP"
"2814","GO:0007403","glial cell fate determination","BP"
"2815","GO:0007405","neuroblast proliferation","BP"
"2816","GO:0007409","axonogenesis","BP"
"2817","GO:0007411","axon guidance","BP"
"2818","GO:0007412","axon target recognition","BP"
"2819","GO:0007413","axonal fasciculation","BP"
"2820","GO:0007414","axonal defasciculation","BP"
"2821","GO:0007416","synapse assembly","BP"
"2822","GO:0007417","central nervous system development","BP"
"2823","GO:0007418","ventral midline development","BP"
"2824","GO:0007419","ventral cord development","BP"
"2825","GO:0007420","brain development","BP"
"2826","GO:0007421","stomatogastric nervous system development","BP"
"2827","GO:0007422","peripheral nervous system development","BP"
"2828","GO:0007423","sensory organ development","BP"
"2829","GO:0007424","open tracheal system development","BP"
"2830","GO:0007426","tracheal outgrowth, open tracheal system","BP"
"2831","GO:0007427","epithelial cell migration, open tracheal system","BP"
"2832","GO:0007428","primary branching, open tracheal system","BP"
"2833","GO:0007430","terminal branching, open tracheal system","BP"
"2834","GO:0007431","salivary gland development","BP"
"2835","GO:0007432","salivary gland boundary specification","BP"
"2836","GO:0007435","salivary gland morphogenesis","BP"
"2837","GO:0007440","foregut morphogenesis","BP"
"2838","GO:0007442","hindgut morphogenesis","BP"
"2839","GO:0007443","Malpighian tubule morphogenesis","BP"
"2840","GO:0007444","imaginal disc development","BP"
"2841","GO:0007446","imaginal disc growth","BP"
"2842","GO:0007447","imaginal disc pattern formation","BP"
"2843","GO:0007455","eye-antennal disc morphogenesis","BP"
"2844","GO:0007462","R1/R6 cell fate commitment","BP"
"2845","GO:0007464","R3/R4 cell fate commitment","BP"
"2846","GO:0007465","R7 cell fate commitment","BP"
"2847","GO:0007472","wing disc morphogenesis","BP"
"2848","GO:0007474","imaginal disc-derived wing vein specification","BP"
"2849","GO:0007476","imaginal disc-derived wing morphogenesis","BP"
"2850","GO:0007480","imaginal disc-derived leg morphogenesis","BP"
"2851","GO:0007482","haltere development","BP"
"2852","GO:0007492","endoderm development","BP"
"2853","GO:0007494","midgut development","BP"
"2854","GO:0007497","posterior midgut development","BP"
"2855","GO:0007498","mesoderm development","BP"
"2856","GO:0007502","digestive tract mesoderm development","BP"
"2857","GO:0007503","fat body development","BP"
"2858","GO:0007506","gonadal mesoderm development","BP"
"2859","GO:0007507","heart development","BP"
"2860","GO:0007508","larval heart development","BP"
"2861","GO:0007509","mesoderm migration involved in gastrulation","BP"
"2862","GO:0007510","cardioblast cell fate determination","BP"
"2863","GO:0007512","adult heart development","BP"
"2864","GO:0007517","muscle organ development","BP"
"2865","GO:0007519","skeletal muscle tissue development","BP"
"2866","GO:0007520","myoblast fusion","BP"
"2867","GO:0007525","somatic muscle development","BP"
"2868","GO:0007526","larval somatic muscle development","BP"
"2869","GO:0007527","adult somatic muscle development","BP"
"2870","GO:0007528","neuromuscular junction development","BP"
"2871","GO:0007529","establishment of synaptic specificity at neuromuscular junction","BP"
"2872","GO:0007530","sex determination","BP"
"2873","GO:0007548","sex differentiation","BP"
"2874","GO:0007552","metamorphosis","BP"
"2875","GO:0007560","imaginal disc morphogenesis","BP"
"2876","GO:0007563","regulation of eclosion","BP"
"2877","GO:0007565","female pregnancy","BP"
"2878","GO:0007566","embryo implantation","BP"
"2879","GO:0007567","parturition","BP"
"2880","GO:0007568","aging","BP"
"2881","GO:0007569","cell aging","BP"
"2882","GO:0007584","response to nutrient","BP"
"2883","GO:0007585","respiratory gaseous exchange by respiratory system","BP"
"2884","GO:0007586","digestion","BP"
"2885","GO:0007588","excretion","BP"
"2886","GO:0007589","body fluid secretion","BP"
"2887","GO:0007595","lactation","BP"
"2888","GO:0007596","blood coagulation","BP"
"2889","GO:0007597","blood coagulation, intrinsic pathway","BP"
"2890","GO:0007600","sensory perception","BP"
"2891","GO:0007601","visual perception","BP"
"2892","GO:0007602","phototransduction","BP"
"2893","GO:0007605","sensory perception of sound","BP"
"2894","GO:0007606","sensory perception of chemical stimulus","BP"
"2895","GO:0007608","sensory perception of smell","BP"
"2896","GO:0007610","behavior","BP"
"2897","GO:0007611","learning or memory","BP"
"2898","GO:0007612","learning","BP"
"2899","GO:0007613","memory","BP"
"2900","GO:0007614","short-term memory","BP"
"2901","GO:0007615","anesthesia-resistant memory","BP"
"2902","GO:0007616","long-term memory","BP"
"2903","GO:0007617","mating behavior","BP"
"2904","GO:0007619","courtship behavior","BP"
"2905","GO:0007622","rhythmic behavior","BP"
"2906","GO:0007623","circadian rhythm","BP"
"2907","GO:0007624","ultradian rhythm","BP"
"2908","GO:0007625","grooming behavior","BP"
"2909","GO:0007626","locomotory behavior","BP"
"2910","GO:0007628","adult walking behavior","BP"
"2911","GO:0007629","flight behavior","BP"
"2912","GO:0007630","jump response","BP"
"2913","GO:0007631","feeding behavior","BP"
"2914","GO:0007632","visual behavior","BP"
"2915","GO:0007634","optokinetic behavior","BP"
"2916","GO:0007635","chemosensory behavior","BP"
"2917","GO:0007638","mechanosensory behavior","BP"
"2918","GO:0008013","beta-catenin binding","MF"
"2919","GO:0008015","blood circulation","BP"
"2920","GO:0008016","regulation of heart contraction","BP"
"2921","GO:0008017","microtubule binding","MF"
"2922","GO:0008020","G protein-coupled photoreceptor activity","MF"
"2923","GO:0008021","synaptic vesicle","CC"
"2924","GO:0008022","protein C-terminus binding","MF"
"2925","GO:0008023","transcription elongation factor complex","CC"
"2926","GO:0008024","cyclin/CDK positive transcription elongation factor complex","CC"
"2927","GO:0008028","monocarboxylic acid transmembrane transporter activity","MF"
"2928","GO:0008033","tRNA processing","BP"
"2929","GO:0008035","high-density lipoprotein particle binding","MF"
"2930","GO:0008037","cell recognition","BP"
"2931","GO:0008039","synaptic target recognition","BP"
"2932","GO:0008045","motor neuron axon guidance","BP"
"2933","GO:0008046","axon guidance receptor activity","MF"
"2934","GO:0008047","enzyme activator activity","MF"
"2935","GO:0008048","calcium sensitive guanylate cyclase activator activity","MF"
"2936","GO:0008049","male courtship behavior","BP"
"2937","GO:0008050","female courtship behavior","BP"
"2938","GO:0008053","mitochondrial fusion","BP"
"2939","GO:0008057","eye pigment granule organization","BP"
"2940","GO:0008061","chitin binding","MF"
"2941","GO:0008063","Toll signaling pathway","BP"
"2942","GO:0008064","regulation of actin polymerization or depolymerization","BP"
"2943","GO:0008065","establishment of blood-nerve barrier","BP"
"2944","GO:0008066","glutamate receptor activity","MF"
"2945","GO:0008068","extracellularly glutamate-gated chloride channel activity","MF"
"2946","GO:0008069","dorsal/ventral axis specification, ovarian follicular epithelium","BP"
"2947","GO:0008073","ornithine decarboxylase inhibitor activity","MF"
"2948","GO:0008074","guanylate cyclase complex, soluble","CC"
"2949","GO:0008076","voltage-gated potassium channel complex","CC"
"2950","GO:0008078","mesodermal cell migration","BP"
"2951","GO:0008079","translation termination factor activity","MF"
"2952","GO:0008080","N-acetyltransferase activity","MF"
"2953","GO:0008081","phosphoric diester hydrolase activity","MF"
"2954","GO:0008083","growth factor activity","MF"
"2955","GO:0008088","axo-dendritic transport","BP"
"2956","GO:0008089","anterograde axonal transport","BP"
"2957","GO:0008090","retrograde axonal transport","BP"
"2958","GO:0008091","spectrin","CC"
"2959","GO:0008092","cytoskeletal protein binding","MF"
"2960","GO:0008093","cytoskeletal anchor activity","MF"
"2961","GO:0008094","DNA-dependent ATPase activity","MF"
"2962","GO:0008097","5S rRNA binding","MF"
"2963","GO:0008098","5S rRNA primary transcript binding","MF"
"2964","GO:0008103","oocyte microtubule cytoskeleton polarization","BP"
"2965","GO:0008104","protein localization","BP"
"2966","GO:0008106","alcohol dehydrogenase (NADP+) activity","MF"
"2967","GO:0008108","UDP-glucose:hexose-1-phosphate uridylyltransferase activity","MF"
"2968","GO:0008111","alpha-methylacyl-CoA racemase activity","MF"
"2969","GO:0008113","peptide-methionine (S)-S-oxide reductase activity","MF"
"2970","GO:0008115","sarcosine oxidase activity","MF"
"2971","GO:0008117","sphinganine-1-phosphate aldolase activity","MF"
"2972","GO:0008119","thiopurine S-methyltransferase activity","MF"
"2973","GO:0008120","ceramide glucosyltransferase activity","MF"
"2974","GO:0008121","ubiquinol-cytochrome-c reductase activity","MF"
"2975","GO:0008123","cholesterol 7-alpha-monooxygenase activity","MF"
"2976","GO:0008124","4-alpha-hydroxytetrahydrobiopterin dehydratase activity","MF"
"2977","GO:0008126","acetylesterase activity","MF"
"2978","GO:0008127","quercetin 2,3-dioxygenase activity","MF"
"2979","GO:0008131","primary amine oxidase activity","MF"
"2980","GO:0008134","transcription factor binding","MF"
"2981","GO:0008135","translation factor activity, RNA binding","MF"
"2983","GO:0008138","protein tyrosine/serine/threonine phosphatase activity","MF"
"2984","GO:0008139","nuclear localization sequence binding","MF"
"2985","GO:0008140","cAMP response element binding protein binding","MF"
"2986","GO:0008142","oxysterol binding","MF"
"2987","GO:0008143","poly(A) binding","MF"
"2988","GO:0008146","sulfotransferase activity","MF"
"2989","GO:0008152","metabolic process","BP"
"2990","GO:0008153","para-aminobenzoic acid biosynthetic process","BP"
"2991","GO:0008154","actin polymerization or depolymerization","BP"
"2992","GO:0008156","negative regulation of DNA replication","BP"
"2993","GO:0008157","protein phosphatase 1 binding","MF"
"2994","GO:0008158","hedgehog receptor activity","MF"
"2995","GO:0008160","protein tyrosine phosphatase activator activity","MF"
"2996","GO:0008168","methyltransferase activity","MF"
"2997","GO:0008170","N-methyltransferase activity","MF"
"2998","GO:0008171","O-methyltransferase activity","MF"
"2999","GO:0008173","RNA methyltransferase activity","MF"
"3000","GO:0008175","tRNA methyltransferase activity","MF"
"3001","GO:0008176","tRNA (guanine-N7-)-methyltransferase activity","MF"
"3002","GO:0008177","succinate dehydrogenase (ubiquinone) activity","MF"
"3003","GO:0008179","adenylate cyclase binding","MF"
"3004","GO:0008180","COP9 signalosome","CC"
"3005","GO:0008184","glycogen phosphorylase activity","MF"
"3006","GO:0008186","RNA-dependent ATPase activity","MF"
"3007","GO:0008187","poly-pyrimidine tract binding","MF"
"3008","GO:0008188","neuropeptide receptor activity","MF"
"3009","GO:0008190","eukaryotic initiation factor 4E binding","MF"
"3010","GO:0008191","metalloendopeptidase inhibitor activity","MF"
"3011","GO:0008192","RNA guanylyltransferase activity","MF"
"3012","GO:0008193","tRNA guanylyltransferase activity","MF"
"3013","GO:0008194","UDP-glycosyltransferase activity","MF"
"3014","GO:0008195","phosphatidate phosphatase activity","MF"
"3015","GO:0008198","ferrous iron binding","MF"
"3016","GO:0008199","ferric iron binding","MF"
"3017","GO:0008200","ion channel inhibitor activity","MF"
"3018","GO:0008201","heparin binding","MF"
"3019","GO:0008202","steroid metabolic process","BP"
"3020","GO:0008203","cholesterol metabolic process","BP"
"3021","GO:0008205","ecdysone metabolic process","BP"
"3022","GO:0008206","bile acid metabolic process","BP"
"3023","GO:0008207","C21-steroid hormone metabolic process","BP"
"3024","GO:0008209","androgen metabolic process","BP"
"3025","GO:0008210","estrogen metabolic process","BP"
"3026","GO:0008217","regulation of blood pressure","BP"
"3027","GO:0008218","bioluminescence","BP"
"3028","GO:0008219","cell death","BP"
"3029","GO:0008227","G protein-coupled amine receptor activity","MF"
"3030","GO:0008233","peptidase activity","MF"
"3031","GO:0008234","cysteine-type peptidase activity","MF"
"3032","GO:0008235","metalloexopeptidase activity","MF"
"3033","GO:0008236","serine-type peptidase activity","MF"
"3034","GO:0008237","metallopeptidase activity","MF"
"3035","GO:0008239","dipeptidyl-peptidase activity","MF"
"3036","GO:0008240","tripeptidyl-peptidase activity","MF"
"3037","GO:0008242","omega peptidase activity","MF"
"3038","GO:0008250","oligosaccharyltransferase complex","CC"
"3039","GO:0008251","tRNA-specific adenosine deaminase activity","MF"
"3040","GO:0008252","nucleotidase activity","MF"
"3041","GO:0008253","5'-nucleotidase activity","MF"
"3042","GO:0008254","3'-nucleotidase activity","MF"
"3043","GO:0008258","head involution","BP"
"3044","GO:0008260","3-oxoacid CoA-transferase activity","MF"
"3045","GO:0008265","Mo-molybdopterin cofactor sulfurase activity","MF"
"3046","GO:0008266","poly(U) RNA binding","MF"
"3047","GO:0008270","zinc ion binding","MF"
"3048","GO:0008271","secondary active sulfate transmembrane transporter activity","MF"
"3049","GO:0008272","sulfate transport","BP"
"3050","GO:0008273","calcium, potassium:sodium antiporter activity","MF"
"3051","GO:0008274","gamma-tubulin ring complex","CC"
"3052","GO:0008275","gamma-tubulin small complex","CC"
"3053","GO:0008276","protein methyltransferase activity","MF"
"3054","GO:0008277","regulation of G protein-coupled receptor signaling pathway","BP"
"3055","GO:0008278","cohesin complex","CC"
"3056","GO:0008283","cell population proliferation","BP"
"3057","GO:0008284","positive regulation of cell population proliferation","BP"
"3058","GO:0008285","negative regulation of cell population proliferation","BP"
"3059","GO:0008286","insulin receptor signaling pathway","BP"
"3060","GO:0008287","protein serine/threonine phosphatase complex","CC"
"3061","GO:0008289","lipid binding","MF"
"3062","GO:0008290","F-actin capping protein complex","CC"
"3063","GO:0008292","acetylcholine biosynthetic process","BP"
"3064","GO:0008293","torso signaling pathway","BP"
"3065","GO:0008294","calcium- and calmodulin-responsive adenylate cyclase activity","MF"
"3066","GO:0008295","spermidine biosynthetic process","BP"
"3067","GO:0008296","3'-5'-exodeoxyribonuclease activity","MF"
"3068","GO:0008298","intracellular mRNA localization","BP"
"3069","GO:0008299","isoprenoid biosynthetic process","BP"
"3070","GO:0008300","isoprenoid catabolic process","BP"
"3071","GO:0008301","DNA binding, bending","MF"
"3072","GO:0008302","female germline ring canal formation, actin assembly","BP"
"3073","GO:0008305","integrin complex","CC"
"3074","GO:0008306","associative learning","BP"
"3075","GO:0008307","structural constituent of muscle","MF"
"3076","GO:0008309","double-stranded DNA exodeoxyribonuclease activity","MF"
"3077","GO:0008310","single-stranded DNA 3'-5' exodeoxyribonuclease activity","MF"
"3078","GO:0008311","double-stranded DNA 3'-5' exodeoxyribonuclease activity","MF"
"3079","GO:0008312","7S RNA binding","MF"
"3080","GO:0008318","protein prenyltransferase activity","MF"
"3081","GO:0008320","protein transmembrane transporter activity","MF"
"3082","GO:0008324","cation transmembrane transporter activity","MF"
"3083","GO:0008327","methyl-CpG binding","MF"
"3084","GO:0008330","protein tyrosine/threonine phosphatase activity","MF"
"3085","GO:0008331","high voltage-gated calcium channel activity","MF"
"3086","GO:0008332","low voltage-gated calcium channel activity","MF"
"3088","GO:0008335","female germline ring canal stabilization","BP"
"3089","GO:0008336","gamma-butyrobetaine dioxygenase activity","MF"
"3090","GO:0008340","determination of adult lifespan","BP"
"3091","GO:0008343","adult feeding behavior","BP"
"3092","GO:0008344","adult locomotory behavior","BP"
"3093","GO:0008345","larval locomotory behavior","BP"
"3094","GO:0008347","glial cell migration","BP"
"3095","GO:0008348","negative regulation of antimicrobial humoral response","BP"
"3096","GO:0008352","katanin complex","CC"
"3097","GO:0008353","RNA polymerase II CTD heptapeptide repeat kinase activity","MF"
"3098","GO:0008354","germ cell migration","BP"
"3099","GO:0008355","olfactory learning","BP"
"3100","GO:0008356","asymmetric cell division","BP"
"3102","GO:0008361","regulation of cell size","BP"
"3103","GO:0008362","chitin-based embryonic cuticle biosynthetic process","BP"
"3104","GO:0008363","larval chitin-based cuticle development","BP"
"3105","GO:0008365","adult chitin-based cuticle development","BP"
"3106","GO:0008366","axon ensheathment","BP"
"3107","GO:0008373","sialyltransferase activity","MF"
"3108","GO:0008374","O-acyltransferase activity","MF"
"3109","GO:0008375","acetylglucosaminyltransferase activity","MF"
"3110","GO:0008376","acetylgalactosaminyltransferase activity","MF"
"3111","GO:0008378","galactosyltransferase activity","MF"
"3112","GO:0008379","thioredoxin peroxidase activity","MF"
"3113","GO:0008380","RNA splicing","BP"
"3114","GO:0008381","mechanosensitive ion channel activity","MF"
"3115","GO:0008384","IkappaB kinase activity","MF"
"3116","GO:0008385","IkappaB kinase complex","CC"
"3117","GO:0008386","cholesterol monooxygenase (side-chain-cleaving) activity","MF"
"3118","GO:0008391","arachidonic acid monooxygenase activity","MF"
"3119","GO:0008392","arachidonic acid epoxygenase activity","MF"
"3120","GO:0008395","steroid hydroxylase activity","MF"
"3121","GO:0008396","oxysterol 7-alpha-hydroxylase activity","MF"
"3122","GO:0008398","sterol 14-demethylase activity","MF"
"3123","GO:0008401","retinoic acid 4-hydroxylase activity","MF"
"3124","GO:0008403","25-hydroxycholecalciferol-24-hydroxylase activity","MF"
"3125","GO:0008406","gonad development","BP"
"3126","GO:0008407","chaeta morphogenesis","BP"
"3127","GO:0008408","3'-5' exonuclease activity","MF"
"3128","GO:0008409","5'-3' exonuclease activity","MF"
"3129","GO:0008410","CoA-transferase activity","MF"
"3130","GO:0008413","8-oxo-7,8-dihydroguanosine triphosphate pyrophosphatase activity","MF"
"3131","GO:0008417","fucosyltransferase activity","MF"
"3132","GO:0008418","protein-N-terminal asparagine amidohydrolase activity","MF"
"3133","GO:0008420","RNA polymerase II CTD heptapeptide repeat phosphatase activity","MF"
"3134","GO:0008422","beta-glucosidase activity","MF"
